upi_id,alpha_count,digit_count,special_count,total_length,username_length,has_at,domain_valid,has_multiple_at,suspicious_word,lottery_word,repeat_chars,is_impersonation,digit_ratio,alpha_ratio,entropy_score,starts_with_digit,sequential_digits,symbol_count,random_string,report_count,label
divya406@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,4,0
amit10@ibl,4,2,0,10,6,1,1,0,0,0,0,0,0.2,0.4,2.585,0,0,0,0,9,0
cd74@hdfc,2,2,0,9,4,1,1,0,0,0,0,0,0.2222,0.2222,2.0,0,0,0,0,5,0
contest478@hdfc,7,3,0,15,10,1,1,0,1,0,0,0,0.2,0.4667,3.1219,0,0,0,0,70,1
ajay!!!@okhdfcbank,4,0,3,18,7,1,1,0,0,0,1,0,0.0,0.2222,1.8424,0,0,3,0,71,1
kavita107@icici,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,2.9477,0,0,0,0,1,0
temp388@axis,4,3,0,12,7,1,1,0,1,0,0,0,0.25,0.3333,2.5216,0,0,0,0,27,1
aaaa600@gmail,4,3,0,13,7,1,0,0,0,0,1,0,0.2308,0.3077,1.3788,0,0,0,0,7,1
deepa850@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,43,1
elsocyrd@gmail,8,0,0,14,8,1,0,0,0,0,0,0,0.0,0.5714,3.0,0,0,0,0,75,1
123sneha@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,1,1,0,0,6,1
contest798@axis,7,3,0,15,10,1,1,0,1,0,0,0,0.2,0.4667,3.1219,0,0,0,0,46,1
789neha@axis,4,3,0,12,7,1,1,0,0,0,0,0,0.25,0.3333,2.8074,1,1,0,0,23,1
cd52@ybl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,3,0
priya392@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,3.0,0,0,0,0,3,0
sachin359@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,3,0
kavita198@ybl,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,2.9477,0,0,0,0,1,0
vikram9346@ybl,6,4,0,14,10,1,1,0,0,0,0,0,0.2857,0.4286,3.3219,0,0,0,0,8,0
rahul119@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,4,0
sonal445@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,5,0
manoj119@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,3,0
deepa2@axis,5,1,0,11,6,1,1,0,0,0,0,0,0.0909,0.4545,2.2516,0,0,0,0,1,0
sonal6143@sbi,5,4,0,13,9,1,1,0,0,0,0,0,0.3077,0.3846,3.1699,0,0,0,0,4,0
isoerjteo@yahoo,9,0,0,15,9,1,0,0,0,0,0,0,0.0,0.6,2.7255,0,0,0,0,1,1
meera441@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.5,0,0,0,0,7,0
kiran!!!@icici,5,0,3,14,8,1,1,0,0,0,1,0,0.0,0.3571,2.4056,0,0,3,0,37,1
ivtrffagmw@gmail,10,0,0,16,10,1,0,0,0,0,0,0,0.0,0.625,3.1219,0,0,0,0,81,1
mgratucle@yahoo,9,0,0,15,9,1,0,0,0,0,0,0,0.0,0.6,3.1699,0,0,0,0,3,0
pq27@ibl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,8,0
789manoj@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,1,1,0,0,71,1
raj762@ibl,3,3,0,10,6,1,1,0,0,0,0,0,0.3,0.3,2.585,0,0,0,0,3,0
manoj8939@axis,5,4,0,14,9,1,1,0,0,0,0,0,0.2857,0.3571,2.9477,0,0,0,0,1,0
temp443@paytm,4,3,0,13,7,1,1,0,1,0,0,0,0.2308,0.3077,2.5216,0,0,0,0,11,1
ankit393@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,1,0
pooja556@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.5,0,0,0,0,3,0
scamper888@okhdfcbank,7,3,0,21,10,1,1,0,1,0,1,0,0.1429,0.3333,2.8464,0,0,0,0,98,1
123vikram@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,1,1,0,0,54,1
uxmhmkrusv@gmail,10,0,0,16,10,1,0,0,0,0,0,0,0.0,0.625,2.9219,0,0,0,0,69,1
ananya607@okhdfcbank,6,3,0,20,9,1,1,0,0,0,0,0,0.15,0.3,2.4194,0,0,0,0,6,0
sachin187@okhdfcbank,6,3,0,20,9,1,1,0,0,0,0,0,0.15,0.3,3.1699,0,0,0,0,5,0
pooja346@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,6,0
amit482@okhdfcbank,4,3,0,18,7,1,1,0,0,0,0,0,0.1667,0.2222,2.8074,0,0,0,0,0,0
ankit2124@okhdfcbank,5,4,0,20,9,1,1,0,0,0,0,0,0.2,0.25,2.9477,0,0,0,0,3,0
rahul637@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,7,0
meera$$$@hdfc,5,0,3,13,8,1,1,0,0,0,1,0,0.0,0.3846,2.1556,0,0,3,0,22,1
ueipyo@yahoo,6,0,0,12,6,1,0,0,0,0,0,0,0.0,0.5,2.585,0,0,0,0,92,1
rohit708@axis,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,4,0
paytm924user@sbi,9,3,0,16,12,1,1,0,0,0,0,1,0.1875,0.5625,3.585,0,0,0,0,9,0
aaaa538@gmail,4,3,0,13,7,1,0,0,0,0,1,0,0.2308,0.3077,1.6645,0,0,0,0,10,0
deepa843@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,5,0
789neha@ybl,4,3,0,11,7,1,1,0,0,0,0,0,0.2727,0.3636,2.8074,1,1,0,0,67,1
sonal9817@ibl,5,4,0,13,9,1,1,0,0,0,0,0,0.3077,0.3846,3.1699,0,0,0,0,9,0
ankit851@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,7,0
sachin584@ybl,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,3.1699,0,0,0,0,7,0
contest599@axis,7,3,0,15,10,1,1,0,1,0,0,0,0.2,0.4667,2.9219,0,0,0,0,34,1
sonal719@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,8,0
cd62@ibl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,3,0
lahkgrjoi@yahoo,9,0,0,15,9,1,0,0,0,0,0,0,0.0,0.6,3.1699,0,0,0,0,59,1
divya237@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,5,0
nisha974@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,7,0
rohit779@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,3,0
vikram184@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,69,1
sneha998@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,2.75,0,0,0,0,2,0
123rahul@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,1,1,0,0,57,1
sneha259@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,1,0
amit591@okhdfcbank,4,3,0,18,7,1,1,0,0,0,0,0,0.1667,0.2222,2.8074,0,0,0,0,9,0
cd25@ybl,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,9,0
manoj390@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,4,0
scamper412@okhdfcbank,7,3,0,21,10,1,1,0,1,0,0,0,0.1429,0.3333,3.3219,0,0,0,0,95,1
meera641@axis,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,2.75,0,0,0,0,1,0
raj566@sbi,3,3,0,10,6,1,1,0,0,0,0,0,0.3,0.3,2.2516,0,0,0,0,6,0
sonal482@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,37,1
bggupufcf@gmail,9,0,0,15,9,1,0,0,0,0,0,0,0.0,0.6,2.5033,0,0,0,0,19,1
raj812@hdfc,3,3,0,11,6,1,1,0,0,0,0,0,0.2727,0.2727,2.585,0,0,0,0,9,0
scamper227@ibl,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.1219,0,0,0,0,90,1
divya513@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,9,0
deepa753@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,0,0
kavita857@okhdfcbank,6,3,0,20,9,1,1,0,0,0,0,0,0.15,0.3,2.9477,0,0,0,0,10,0
paytm141user@icici,9,3,0,18,12,1,1,0,0,0,0,1,0.1667,0.5,3.4183,0,0,0,0,10,0
divya186@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,7,0
scamper456@ybl,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.3219,0,1,0,0,86,1
raj338@ybl,3,3,0,10,6,1,1,0,0,0,0,0,0.3,0.3,2.2516,0,0,0,0,4,0
789sneha@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,1,1,0,0,33,1
ananya886@okhdfcbank,6,3,0,20,9,1,1,0,0,0,0,0,0.15,0.3,2.1972,0,0,0,0,8,0
sneha193@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,7,0
reward373@icici,6,3,0,15,9,1,1,0,0,1,0,0,0.2,0.4,2.7255,0,0,0,0,57,1
scamper224@okhdfcbank,7,3,0,21,10,1,1,0,1,0,0,0,0.1429,0.3333,3.1219,0,0,0,0,78,1
iakfvcy@gmail,7,0,0,13,7,1,0,0,0,0,0,0,0.0,0.5385,2.8074,0,0,0,0,92,1
divya426@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,3,0
neha393@axis,4,3,0,12,7,1,1,0,0,0,0,0,0.25,0.3333,2.5216,0,0,0,0,8,0
fake382@ybl,4,3,0,11,7,1,1,0,1,0,0,0,0.2727,0.3636,2.8074,0,0,0,0,65,1
rahul290@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,9,0
scamper986@icici,7,3,0,16,10,1,1,0,1,0,0,0,0.1875,0.4375,3.3219,0,0,0,0,62,1
nisha782@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,5,0
ankit123@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,1,0,0,100,1
pooja763@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,6,0
kavita812@icici,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,2.9477,0,0,0,0,0,0
rohit340@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,7,0
sachin16@icici,6,2,0,14,8,1,1,0,0,0,0,0,0.1429,0.4286,3.0,0,0,0,0,10,0
pq43@paytm,2,2,0,10,4,1,1,0,0,0,0,0,0.2,0.2,2.0,0,0,0,0,6,0
aaaa979@gmail,4,3,0,13,7,1,0,0,0,0,1,0,0.2308,0.3077,1.3788,0,0,0,0,81,1
789sneha@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,1,1,0,0,88,1
contest864@sbi,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.1219,0,0,0,0,13,1
lsxbuh@yahoo,6,0,0,12,6,1,0,0,0,0,0,0,0.0,0.5,2.585,0,0,0,0,32,1
kavita###@icici,6,0,3,15,9,1,1,0,0,0,1,0,0.0,0.4,2.4194,0,0,3,0,79,1
paytm799user@axis,9,3,0,17,12,1,1,0,0,0,0,1,0.1765,0.5294,3.4183,0,0,0,0,9,0
sachin654@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,10,0
sachin923@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,2,0
vikram602@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,6,0
456meera@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,1,1,0,0,14,1
rohit368@hdfc,5,3,0,13,8,1,1,0,0,0,0,0,0.2308,0.3846,3.0,0,0,0,0,4,0
kavita406@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,2.9477,0,0,0,0,88,1
lucky863@ibl,5,3,0,12,8,1,1,0,0,1,0,0,0.25,0.4167,3.0,0,0,0,0,37,1
scam324@axis,4,3,0,12,7,1,1,0,1,0,0,0,0.25,0.3333,2.8074,0,0,0,0,87,1
qxqilpt@gmail,7,0,0,13,7,1,0,0,0,0,0,0,0.0,0.5385,2.5216,0,0,0,0,42,1
xyz235@paytm,3,3,0,12,6,1,1,0,1,0,0,0,0.25,0.25,2.585,0,0,0,0,35,1
kiran5835@paytm,5,4,0,15,9,1,1,0,0,0,0,0,0.2667,0.3333,2.9477,0,0,0,0,7,0
contest872@axis,7,3,0,15,10,1,1,0,1,0,0,0,0.2,0.4667,3.1219,0,0,0,0,93,1
789vikram@sbi,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,3.1699,1,1,0,0,2,1
priya466@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,10,0
ananya843@paytm,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,2.4194,0,0,0,0,3,0
sonal906@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,3,0
xhkdyhmcx@gmail,9,0,0,15,9,1,0,0,0,0,0,0,0.0,0.6,2.7255,0,0,0,0,48,1
ktekcmkyaj@yahoo,10,0,0,16,10,1,0,0,0,0,0,0,0.0,0.625,2.8464,0,0,0,0,31,1
xy79@paytm,2,2,0,10,4,1,1,0,0,0,0,0,0.2,0.2,2.0,0,0,0,0,36,1
priya972@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,3,0
rahul###@paytm,5,0,3,14,8,1,1,0,0,0,1,0,0.0,0.3571,2.4056,0,0,3,0,17,1
fake949@axis,4,3,0,12,7,1,1,0,1,0,0,0,0.25,0.3333,2.5216,0,0,0,0,30,1
neha808@okhdfcbank,4,3,0,18,7,1,1,0,0,0,0,0,0.1667,0.2222,2.5216,0,0,0,0,2,0
paytm356user@icici,9,3,0,18,12,1,1,0,0,0,0,1,0.1667,0.5,3.585,0,0,0,0,0,0
vikram809@axis,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,0,0
sneha130@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,1,0
vikram526@sbi,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,3.1699,0,0,0,0,3,0
xy68@okhdfcbank,2,2,0,15,4,1,1,0,0,0,0,0,0.1333,0.1333,2.0,0,0,0,0,62,1
scamper802@sbi,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,3.3219,0,0,0,0,57,1
amit330@icici,4,3,0,13,7,1,1,0,0,0,0,0,0.2308,0.3077,2.5216,0,0,0,0,36,1
nisha!!!@paytm,5,0,3,14,8,1,1,0,0,0,1,0,0.0,0.3571,2.4056,0,0,3,0,77,1
789sonal@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,1,1,0,0,90,1
ajay667@axis,4,3,0,12,7,1,1,0,0,0,0,0,0.25,0.3333,2.2359,0,0,0,0,3,0
sachin409@ybl,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,3.1699,0,0,0,0,5,0
kavita262@paytm,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,2.7255,0,0,0,0,10,0
ab20@sbi,2,2,0,8,4,1,1,0,0,0,0,0,0.25,0.25,2.0,0,0,0,0,5,0
paytm161user@paytm,9,3,0,18,12,1,1,0,0,0,0,1,0.1667,0.5,3.4183,0,0,0,0,6,0
kavita964@ybl,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,2.9477,0,0,0,0,0,0
paytm419user@paytm,9,3,0,18,12,1,1,0,0,0,0,1,0.1667,0.5,3.585,0,0,0,0,8,0
kavita494@axis,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,2.7255,0,0,0,0,5,0
priya5564@axis,5,4,0,14,9,1,1,0,0,0,0,0,0.2857,0.3571,2.9477,0,0,0,0,8,0
paytm728user@okhdfcbank,9,3,0,23,12,1,1,0,0,0,0,1,0.1304,0.3913,3.585,0,0,0,0,10,0
rahul3955@hdfc,5,4,0,14,9,1,1,0,0,0,0,0,0.2857,0.3571,2.9477,0,0,0,0,4,0
rahul3972@icici,5,4,0,15,9,1,1,0,0,0,0,0,0.2667,0.3333,3.1699,0,0,0,0,6,0
ajay996@okhdfcbank,4,3,0,18,7,1,1,0,0,0,0,0,0.1667,0.2222,2.2359,0,0,0,0,8,0
deepa465@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,4,0
sonal###@okhdfcbank,5,0,3,19,8,1,1,0,0,0,1,0,0.0,0.2632,2.4056,0,0,3,0,97,1
hrmlht@gmail,6,0,0,12,6,1,0,0,0,0,0,0,0.0,0.5,2.2516,0,0,0,0,15,1
kavita608@ibl,6,3,0,13,9,1,1,0,0,0,0,0,0.2308,0.4615,2.9477,0,0,0,0,4,0
ananya614@okhdfcbank,6,3,0,20,9,1,1,0,0,0,0,0,0.15,0.3,2.4194,0,0,0,0,39,1
contest882@hdfc,7,3,0,15,10,1,1,0,1,0,0,0,0.2,0.4667,2.9219,0,0,0,0,16,1
deepa180@icici,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,2.75,0,0,0,0,3,0
bwbaxwoo@yahoo,8,0,0,14,8,1,0,0,0,0,0,0,0.0,0.5714,2.25,0,0,0,0,52,1
pooja176@ibl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,5,0
priya250@ybl,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,3.0,0,0,0,0,8,0
shankar764@paytm,7,3,0,16,10,1,1,0,0,0,0,0,0.1875,0.4375,3.1219,0,0,0,0,2,0
ajay117@axis,4,3,0,12,7,1,1,0,0,0,0,0,0.25,0.3333,2.2359,0,0,0,0,5,0
ajay835@icici,4,3,0,13,7,1,1,0,0,0,0,0,0.2308,0.3077,2.5216,0,0,0,0,2,0
raj617@icici,3,3,0,12,6,1,1,0,0,0,0,0,0.25,0.25,2.585,0,0,0,0,10,0
ajay506@ibl,4,3,0,11,7,1,1,0,0,0,0,0,0.2727,0.3636,2.5216,0,0,0,0,9,0
rohit659@paytm,5,3,0,14,8,1,1,0,0,0,0,0,0.2143,0.3571,3.0,0,0,0,0,10,0
sachin70@ibl,6,2,0,12,8,1,1,0,0,0,0,0,0.1667,0.5,3.0,0,0,0,0,4,0
sneha$$$@sbi,5,0,3,12,8,1,1,0,0,0,1,0,0.0,0.4167,2.4056,0,0,3,0,58,1
vikram852@hdfc,6,3,0,14,9,1,1,0,0,0,0,0,0.2143,0.4286,3.1699,0,0,0,0,1,0
ananya$$$@okhdfcbank,6,0,3,20,9,1,1,0,0,0,1,0,0.0,0.3,1.8911,0,0,3,0,74,1
aaaa587@paytm,4,3,0,13,7,1,1,0,0,0,1,0,0.2308,0.3077,1.6645,0,0,0,0,7,0
pooja732@sbi,5,3,0,12,8,1,1,0,0,0,0,0,0.25,0.4167,2.75,0,0,0,0,2,0
sachin450@icici,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,3.1699,0,0,0,0,4,0
pooja696@okhdfcbank,5,3,0,19,8,1,1,0,0,0,0,0,0.1579,0.2632,2.5,0,0,0,0,10,0
pooja97@ybl,5,2,0,11,7,1,1,0,0,0,0,0,0.1818,0.4545,2.5216,0,0,0,0,10,0
paytm994user@icici,9,3,0,18,12,1,1,0,0,0,0,1,0.1667,0.5,3.4183,0,0,0,0,9,0
wwww771@gmail,4,3,0,13,7,1,0,0,0,0,1,0,0.2308,0.3077,1.3788,0,0,0,0,91,1
nisha7171@paytm,5,4,0,15,9,1,1,0,0,0,0,0,0.2667,0.3333,2.7255,0,0,0,0,10,0
crnaiyitez@gmail,10,0,0,16,10,1,0,0,0,0,0,0,0.0,0.625,3.1219,0,0,0,0,13,1
manoj###@paytm,5,0,3,14,8,1,1,0,0,0,1,0,0.0,0.3571,2.4056,0,0,3,0,80,1
ananya158@icici,6,3,0,15,9,1,1,0,0,0,0,0,0.2,0.4,2.4194,0,0,0,0,9,0
contest838@ibl,7,3,0,14,10,1,1,0,1,0,0,0,0.2143,0.5,2.9219,0,0,0,0,5,0
