transaction_id,upi_id,amount,hour,frequency,avg_amount,amount_deviation,location,device,risk_score,risk_level,is_fraud,timestamp
TXN20260424000021,shankar450@okhdfcbank,40073,19,1,40857,784,Mumbai,web,32,Medium,0,2026-04-24 14:44:36
TXN20260424000022,sneha446@ybl,46953,16,3,53022,6069,Bangalore,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000023,priya765@ibl,25043,12,2,29609,4566,Ahmedabad,tablet,36,Medium,0,2026-04-24 14:44:36
TXN20260424000024,kiran964@sbi,10446,17,3,8314,2132,Jaipur,tablet,25,Medium,0,2026-04-24 14:44:36
TXN20260424000025,raj771@icici,31989,13,2,23733,8256,Bangalore,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000026,sachin665@axis,623,20,2,695,72,Lucknow,tablet,12,Low,0,2026-04-24 14:44:36
TXN20260424000027,neha356@icici,18229,15,1,14575,3654,Ahmedabad,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000028,user7016589517@hdfc,125000,3,6,11069,113931,Kolkata,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000029,nisha741@icici,3268,13,2,2911,357,Ahmedabad,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000030,fake335@hdfc,150000,1,4,9458,140542,Kolkata,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000031,amit707@ibl,13640,10,2,10733,2907,Hyderabad,mobile,10,Low,0,2026-04-24 14:44:36
TXN20260424000032,rahul844@sbi,17694,14,2,17805,111,Jaipur,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000033,uoyvqa@gmail,75000,23,5,8464,66536,Delhi,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000034,deepa459@paytm,11670,12,2,9043,2627,Delhi,mobile,10,Low,0,2026-04-24 14:44:36
TXN20260424000035,hjwvgh@gmail,25000,23,7,10320,14680,Lucknow,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000036,pooja830@ybl,15830,19,3,14094,1736,Kolkata,mobile,37,Medium,0,2026-04-24 14:44:36
TXN20260424000037,test418@axis,150000,22,8,5707,144293,Jaipur,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000038,kiran939@hdfc,17411,12,2,13802,3609,Pune,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000039,deepa851@ybl,17552,8,1,15647,1905,Pune,mobile,10,Low,0,2026-04-24 14:44:36
TXN20260424000040,vikram611@paytm,5703,10,1,5375,328,Bangalore,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000041,test701@sbi,45000,3,8,13316,31684,Hyderabad,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000042,raj574@hdfc,27205,9,1,24704,2501,Bangalore,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000043,ananya790@axis,553,21,2,615,62,Jaipur,tablet,12,Low,0,2026-04-24 14:44:36
TXN20260424000044,wwwwwwwwww@paytm,75000,1,9,13479,61521,Ahmedabad,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000045,sneha378@hdfc,22262,15,1,28566,6304,Kolkata,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000046,test474@ybl,150000,2,10,8554,141446,Hyderabad,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000047,jjjjjjj@xyz,150000,22,9,11884,138116,Lucknow,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000048,meera729@hdfc,12350,17,3,11772,578,Chennai,tablet,25,Medium,0,2026-04-24 14:44:36
TXN20260424000049,ananya465@icici,30944,10,3,38372,7428,Chennai,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000050,meera15@paytm,1599,10,1,1651,52,Kolkata,mobile,0,Low,0,2026-04-24 14:44:36
TXN20260424000051,nisha453@sbi,27013,14,1,26889,124,Delhi,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000052,priya183@ybl,6166,19,1,6304,138,Hyderabad,web,12,Low,0,2026-04-24 14:44:36
TXN20260424000053,xyz93@paytm,25000,22,7,12513,12487,Chennai,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000054,pooja24@paytm,1976,21,2,2419,443,Pune,mobile,12,Low,0,2026-04-24 14:44:36
TXN20260424000055,kiran328@hdfc,19236,17,3,22366,3130,Mumbai,mobile,25,Medium,0,2026-04-24 14:44:36
TXN20260424000056,divya912@hdfc,17833,9,3,17099,734,Delhi,mobile,25,Medium,0,2026-04-24 14:44:36
TXN20260424000057,zzzzzzzzz@temp,125000,23,4,11257,113743,Chennai,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000058,shankar568@axis,21207,12,1,18447,2760,Mumbai,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000059,sneha218@ibl,15581,16,1,16541,960,Hyderabad,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000060,divya587@hdfc,25463,20,2,31977,6514,Delhi,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000061,flipk4rt348@okhdfcbank,200000,1,8,10479,189521,Jaipur,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000062,vikram114@okhdfcbank,44254,19,3,36483,7771,Lucknow,tablet,63,High,0,2026-04-24 14:44:36
TXN20260424000063,vikram455@ybl,41754,10,3,46121,4367,Jaipur,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000064,manoj720@ybl,28806,19,2,35452,6646,Lucknow,web,48,High,0,2026-04-24 14:44:36
TXN20260424000065,sachin10@axis,6921,13,2,8053,1132,Kolkata,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000066,manoj968@icici,5349,17,2,5065,284,Bangalore,tablet,0,Low,0,2026-04-24 14:44:36
TXN20260424000067,divya776@axis,42414,18,3,37996,4418,Hyderabad,web,51,High,0,2026-04-24 14:44:36
TXN20260424000068,amit692@icici,31132,18,2,33357,2225,Jaipur,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000069,priya113@axis,41182,15,1,45868,4686,Bangalore,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000070,priya8399@temp,150000,3,7,7077,142923,Pune,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000071,ananya404@sbi,41221,15,1,29316,11905,Delhi,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000072,kiran695@ybl,1184,8,2,1296,112,Chennai,tablet,0,Low,0,2026-04-24 14:44:36
TXN20260424000073,deepa378@ybl,39279,11,3,50389,11110,Kolkata,tablet,63,High,0,2026-04-24 14:44:36
TXN20260424000074,raj776@hdfc,4048,15,3,2899,1149,Bangalore,tablet,15,Low,0,2026-04-24 14:44:36
TXN20260424000075,neha748@sbi,10415,8,1,10329,86,Delhi,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000076,test945@hdfc,45000,22,4,11713,33287,Lucknow,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000077,xyz278@hdfc,50000,1,6,14238,35762,Chennai,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000078,nisha122@ybl,26462,19,2,21824,4638,Delhi,web,48,High,0,2026-04-24 14:44:36
TXN20260424000079,rahul660@paytm,39350,14,1,47848,8498,Chennai,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000080,pooja393@okhdfcbank,39190,16,3,49174,9984,Delhi,tablet,63,High,0,2026-04-24 14:44:36
TXN20260424000081,ankit958@okhdfcbank,816,9,1,918,102,Chennai,tablet,0,Low,0,2026-04-24 14:44:36
TXN20260424000082,pooja8248@xyz,75000,0,8,8265,66735,Bangalore,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000083,vikram779@okhdfcbank,39029,15,1,47380,8351,Chennai,web,48,High,0,2026-04-24 14:44:36
TXN20260424000084,neha932@axis,16142,21,1,17577,1435,Pune,web,22,Low,0,2026-04-24 14:44:36
TXN20260424000085,igpiabvpk@paytm,50000,0,7,8246,41754,Mumbai,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000086,deepa526@axis,10345,12,3,8915,1430,Pune,mobile,25,Medium,0,2026-04-24 14:44:36
TXN20260424000087,shankar626@ybl,9200,15,2,7240,1960,Jaipur,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000088,sneha783@okhdfcbank,41792,16,3,38590,3202,Delhi,tablet,35,Medium,0,2026-04-24 14:44:36
TXN20260424000089,divya216@axis,19887,21,1,20289,402,Mumbai,web,22,Low,0,2026-04-24 14:44:36
TXN20260424000090,deepa110@axis,44484,8,2,57060,12576,Ahmedabad,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000091,rahul368@sbi,655,9,3,789,134,Pune,tablet,15,Low,0,2026-04-24 14:44:36
TXN20260424000092,vikram354@okhdfcbank,17873,10,3,14023,3850,Bangalore,mobile,25,Medium,0,2026-04-24 14:44:36
TXN20260424000093,sneha387@ybl,6780,8,1,7390,610,Bangalore,mobile,0,Low,0,2026-04-24 14:44:36
TXN20260424000094,sachin534@icici,6551,14,3,6379,172,Jaipur,mobile,15,Low,0,2026-04-24 14:44:36
TXN20260424000095,sneha164@axis,10231,21,3,8265,1966,Jaipur,tablet,37,Medium,0,2026-04-24 14:44:36
TXN20260424000096,rahul231@paytm,26767,17,3,19069,7698,Lucknow,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000097,priya85@icici,25975,17,2,24828,1147,Pune,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000098,deepa294@paytm,47839,16,3,40845,6994,Pune,web,51,High,0,2026-04-24 14:44:36
TXN20260424000099,sachin534@icici,40908,9,3,34965,5943,Jaipur,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000100,amit253@okhdfcbank,25810,14,1,23570,2240,Jaipur,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000101,sneha510@paytm,38705,11,2,41666,2961,Chennai,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000102,sachin573@icici,1626,12,2,1312,314,Ahmedabad,mobile,0,Low,0,2026-04-24 14:44:36
TXN20260424000103,sneha22@sbi,24636,14,2,22493,2143,Kolkata,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000104,vikram343@sbi,46140,14,1,37426,8714,Jaipur,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000105,yyyyyy@temp,45000,22,4,5006,39994,Ahmedabad,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000106,sachin210@ybl,45346,12,1,41985,3361,Pune,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000107,rahul804@hdfc,19827,14,2,24323,4496,Kolkata,web,26,Medium,0,2026-04-24 14:44:36
TXN20260424000108,test883@ybl,25000,0,10,9834,15166,Bangalore,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000109,divya109@ybl,48832,11,3,53978,5146,Pune,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000110,vikram873@icici,16525,19,2,18679,2154,Chennai,web,22,Low,0,2026-04-24 14:44:36
TXN20260424000111,rahul84@okhdfcbank,17345,8,1,17449,104,Kolkata,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000112,deepa49@hdfc,42695,12,2,37329,5366,Mumbai,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000113,meera729@hdfc,45291,15,2,33045,12246,Ahmedabad,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000114,sachin704@sbi,49937,10,3,36390,13547,Jaipur,mobile,63,High,0,2026-04-24 14:44:36
TXN20260424000115,flipk4rt587@sbi,95000,0,7,7660,87340,Mumbai,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000116,pooja6289@temp,75000,23,8,14511,60489,Mumbai,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000117,amit853@axis,27816,18,1,34327,6511,Ahmedabad,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000118,neha129@icici,34573,12,3,43467,8894,Bangalore,mobile,63,High,0,2026-04-24 14:44:36
TXN20260424000119,nisha116@sbi,23621,16,2,20399,3222,Lucknow,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000120,ananya566@paytm,2350,8,1,3027,677,Mumbai,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000121,pooja689@axis,14926,20,1,10735,4191,Jaipur,tablet,38,Medium,0,2026-04-24 14:44:36
TXN20260424000122,sachin533@ybl,31669,16,1,31064,605,Kolkata,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000123,deepa589@paytm,39762,18,3,40748,986,Jaipur,tablet,35,Medium,0,2026-04-24 14:44:36
TXN20260424000124,priya559@hdfc,9544,13,3,6737,2807,Lucknow,mobile,25,Medium,0,2026-04-24 14:44:36
TXN20260424000125,user478114972@okhdfcbank,45000,23,6,14855,30145,Delhi,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000126,priya914@paytm,16107,9,3,17855,1748,Ahmedabad,web,25,Medium,0,2026-04-24 14:44:36
TXN20260424000127,divya525@icici,32856,21,2,35946,3090,Ahmedabad,web,32,Medium,0,2026-04-24 14:44:36
TXN20260424000128,spam983@axis,25000,23,10,12333,12667,Kolkata,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000129,rahul664@okhdfcbank,23106,20,1,16973,6133,Jaipur,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000130,ananya41@hdfc,26438,17,3,28954,2516,Pune,tablet,35,Medium,0,2026-04-24 14:44:36
TXN20260424000131,rahul627@paytm,37047,15,1,46824,9777,Ahmedabad,web,48,High,0,2026-04-24 14:44:36
TXN20260424000132,nisha659@okhdfcbank,18655,9,1,16284,2371,Bangalore,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000133,xyz1@ybl,125000,3,9,5306,119694,Jaipur,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000134,user99080863008282@hdfc,200000,2,10,8525,191475,Delhi,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000135,pooja853@paytm,25581,9,1,30094,4513,Pune,tablet,36,Medium,0,2026-04-24 14:44:36
TXN20260424000136,sneha255@icici,32041,10,2,40020,7979,Jaipur,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000137,raj330@ybl,30721,13,1,21608,9113,Chennai,web,48,High,0,2026-04-24 14:44:36
TXN20260424000138,manoj114@okhdfcbank,12657,12,1,12676,19,Delhi,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000139,deepa600@ibl,44638,13,1,45840,1202,Delhi,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000140,meera810@sbi,5144,8,3,4187,957,Ahmedabad,mobile,15,Low,0,2026-04-24 14:44:36
TXN20260424000141,test706@axis,45000,2,4,10475,34525,Chennai,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000142,manoj865@okhdfcbank,45121,18,1,40041,5080,Delhi,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000143,user94495889771878@icici,95000,3,10,5872,89128,Lucknow,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000144,raj81@ibl,1513,11,2,1249,264,Bangalore,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000145,rahul175@hdfc,37141,20,3,39797,2656,Jaipur,web,47,High,0,2026-04-24 14:44:36
TXN20260424000146,divya653@ybl,1274,15,2,1120,154,Chennai,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000147,shankar705@okhdfcbank,14274,9,2,18341,4067,Pune,web,26,Medium,0,2026-04-24 14:44:36
TXN20260424000148,vikram599@icici,44329,14,2,36885,7444,Mumbai,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000149,zzzzzzzz@xyz,25000,0,9,5173,19827,Bangalore,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000150,rahul603@axis,48462,9,1,55537,7075,Kolkata,tablet,36,Medium,0,2026-04-24 14:44:36
TXN20260424000151,ankit379@sbi,5504,18,2,5242,262,Lucknow,web,0,Low,0,2026-04-24 14:44:36
TXN20260424000152,pooja25@okhdfcbank,38241,11,1,40994,2753,Kolkata,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000153,amit428@okhdfcbank,12369,17,1,11374,995,Delhi,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000154,rahul156@paytm,10068,16,3,11758,1690,Mumbai,tablet,25,Medium,0,2026-04-24 14:44:36
TXN20260424000155,meera828@axis,13345,21,3,12385,960,Ahmedabad,tablet,37,Medium,0,2026-04-24 14:44:36
TXN20260424000156,user9207689037@paytm,100000,22,7,10430,89570,Lucknow,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000157,meera635@hdfc,7336,8,2,7451,115,Ahmedabad,mobile,10,Low,0,2026-04-24 14:44:36
TXN20260424000158,manoj282@icici,8821,17,1,9683,862,Bangalore,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000159,vndscxiwdl@gmail,150000,3,10,13734,136266,Ahmedabad,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000160,manoj346@paytm,41365,8,2,38123,3242,Jaipur,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000161,nisha453@sbi,43819,15,3,36403,7416,Ahmedabad,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000162,nisha604@ibl,16405,9,1,11494,4911,Hyderabad,mobile,26,Medium,0,2026-04-24 14:44:36
TXN20260424000163,pooja213@sbi,40102,15,3,40123,21,Bangalore,mobile,35,Medium,0,2026-04-24 14:44:36
TXN20260424000164,shankar86@okhdfcbank,39956,12,2,43312,3356,Kolkata,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000165,pooja887@axis,37138,12,1,33502,3636,Jaipur,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000166,neha696@ibl,15924,14,3,17316,1392,Hyderabad,tablet,25,Medium,0,2026-04-24 14:44:36
TXN20260424000167,phish293@sbi,45000,23,4,7346,37654,Bangalore,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000168,sachin217@okhdfcbank,29848,12,2,34692,4844,Lucknow,tablet,36,Medium,0,2026-04-24 14:44:36
TXN20260424000169,sneha70@sbi,33202,15,3,42833,9631,Hyderabad,mobile,63,High,0,2026-04-24 14:44:36
TXN20260424000170,kiran874@hdfc,44248,16,1,55785,11537,Lucknow,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000171,ankit530@ybl,31407,20,2,26545,4862,Bangalore,tablet,48,High,0,2026-04-24 14:44:36
TXN20260424000172,amit177@sbi,40454,13,3,34573,5881,Kolkata,mobile,51,High,0,2026-04-24 14:44:36
TXN20260424000173,kiran755@paytm,37112,16,1,29025,8087,Jaipur,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000174,ankit935@axis,7579,10,1,6984,595,Chennai,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000175,test490@hdfc,95000,0,4,11060,83940,Chennai,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000176,rahul631@axis,32193,16,1,29528,2665,Bangalore,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000177,shankar941@ibl,803,21,3,678,125,Ahmedabad,mobile,27,Medium,0,2026-04-24 14:44:36
TXN20260424000178,rahul62@axis,16027,21,2,19711,3684,Delhi,mobile,22,Low,0,2026-04-24 14:44:36
TXN20260424000179,nisha500@icici,35477,19,2,37388,1911,Pune,tablet,32,Medium,0,2026-04-24 14:44:36
TXN20260424000180,vikram28@ybl,22236,19,1,26340,4104,Mumbai,web,48,High,0,2026-04-24 14:44:36
TXN20260424000181,deepa495@sbi,39055,18,1,49050,9995,Pune,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000182,priya760@paytm,6883,20,1,5665,1218,Ahmedabad,web,12,Low,0,2026-04-24 14:44:36
TXN20260424000183,ananya1299@xyz,50000,23,8,7722,42278,Bangalore,web,99,Critical,1,2026-04-24 14:44:36
TXN20260424000184,kiran453@hdfc,33653,14,3,27524,6129,Chennai,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000185,divya569@hdfc,35899,15,2,34919,980,Pune,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000186,alert847@okhdfcbank,75000,22,10,6112,68888,Kolkata,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000187,shankar450@ybl,45954,18,2,49307,3353,Lucknow,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000188,manoj374@sbi,28376,15,3,22080,6296,Delhi,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000189,shankar581@sbi,20506,12,1,23189,2683,Mumbai,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000190,divya229@axis,14909,19,1,19348,4439,Jaipur,mobile,38,Medium,0,2026-04-24 14:44:36
TXN20260424000191,nnnnnnnnnn@paytm,100000,23,10,11560,88440,Kolkata,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000192,mdmnvkv@gmail,95000,22,10,11802,83198,Mumbai,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000193,meera593@ybl,3858,16,3,3429,429,Ahmedabad,web,15,Low,0,2026-04-24 14:44:36
TXN20260424000194,ananya756@sbi,9678,18,2,8017,1661,Pune,web,10,Low,0,2026-04-24 14:44:36
TXN20260424000195,kiran339@paytm,37881,9,2,45673,7792,Hyderabad,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000196,kiran791@ybl,10738,19,3,11930,1192,Chennai,tablet,37,Medium,0,2026-04-24 14:44:36
TXN20260424000197,qwxssuxm@paytm,45000,0,10,11213,33787,Ahmedabad,mobile,99,Critical,1,2026-04-24 14:44:36
TXN20260424000198,raj930@hdfc,32078,18,2,29306,2772,Ahmedabad,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000199,ananya360@icici,17017,19,1,15752,1265,Bangalore,mobile,22,Low,0,2026-04-24 14:44:36
TXN20260424000200,manoj784@axis,40817,10,3,45550,4733,Delhi,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000201,vikram540@okhdfcbank,21498,21,2,16609,4889,Kolkata,web,48,High,0,2026-04-24 14:44:36
TXN20260424000202,neha948@ibl,40208,18,3,39363,845,Lucknow,tablet,35,Medium,0,2026-04-24 14:44:36
TXN20260424000203,amit20@ybl,29577,18,3,26443,3134,Ahmedabad,web,35,Medium,0,2026-04-24 14:44:36
TXN20260424000204,neha58@ibl,35895,14,2,28371,7524,Pune,web,36,Medium,0,2026-04-24 14:44:36
TXN20260424000205,priya9@hdfc,16488,10,1,16189,299,Lucknow,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000206,sneha821@hdfc,32574,11,1,32411,163,Delhi,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000207,ananya493@okhdfcbank,8682,13,2,9664,982,Pune,tablet,10,Low,0,2026-04-24 14:44:36
TXN20260424000208,hehzctpchc@paytm,75000,1,9,7540,67460,Chennai,tablet,99,Critical,1,2026-04-24 14:44:36
TXN20260424000209,manoj905@hdfc,25316,11,1,26654,1338,Pune,web,20,Low,0,2026-04-24 14:44:36
TXN20260424000210,deepa880@axis,26086,17,1,18984,7102,Ahmedabad,tablet,36,Medium,0,2026-04-24 14:44:36
TXN20260424000211,sneha928@icici,22811,15,2,27149,4338,Mumbai,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000212,ankit767@ybl,13301,14,2,13894,593,Mumbai,mobile,10,Low,0,2026-04-24 14:44:36
TXN20260424000213,divya9@ibl,39725,12,2,49391,9666,Hyderabad,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000214,amit486@okhdfcbank,8242,20,3,7363,879,Chennai,web,37,Medium,0,2026-04-24 14:44:36
TXN20260424000215,sachin965@paytm,48148,13,2,38516,9632,Lucknow,mobile,48,High,0,2026-04-24 14:44:36
TXN20260424000216,ananya110@axis,3359,10,1,3394,35,Delhi,mobile,0,Low,0,2026-04-24 14:44:36
TXN20260424000217,ananya481@icici,44607,16,2,50044,5437,Pune,mobile,36,Medium,0,2026-04-24 14:44:36
TXN20260424000218,pooja84@hdfc,6255,19,1,7617,1362,Lucknow,mobile,12,Low,0,2026-04-24 14:44:36
TXN20260424000219,kiran14@ybl,38067,15,2,41089,3022,Bangalore,mobile,20,Low,0,2026-04-24 14:44:36
TXN20260424000220,priya994@paytm,23696,21,1,26448,2752,Pune,tablet,32,Medium,0,2026-04-24 14:44:36
TXN20260424000221,nisha315@paytm,1048,20,2,774,274,Pune,web,12,Low,0,2026-04-24 14:44:36
TXN20260424000222,priya586@axis,34822,14,3,24427,10395,Delhi,web,63,High,0,2026-04-24 14:44:36
TXN20260424000223,manoj805@ybl,2733,17,2,2655,78,Bangalore,tablet,0,Low,0,2026-04-24 14:44:36
TXN20260424000224,ananya530@sbi,2891,20,3,3060,169,Hyderabad,web,27,Medium,0,2026-04-24 14:44:36
TXN20260424000225,vikram494@hdfc,24658,16,2,25362,704,Mumbai,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000226,rahul645@sbi,46606,12,3,51092,4486,Jaipur,tablet,51,High,0,2026-04-24 14:44:36
TXN20260424000227,neha422@sbi,25034,12,1,26000,966,Ahmedabad,tablet,20,Low,0,2026-04-24 14:44:36
TXN20260424000228,divya110@sbi,48779,15,1,39895,8884,Kolkata,mobile,48,High,0,2026-04-24 14:44:36
